user_id,consent,gender,age,trust_operate,trust_comfort,trust_depend,trust_cautious,trust_trustworthy,attention_check_disagree,familiar_1,familiar_2,familiar_3,familiar_4,final_trust,final_familiar,pre_task_attention,godspeed_fake,godspeed_machinelike,godspeed_unconscious,godspeed_artificial,godspeed_rigid,likert_emotion,likert_humanlike,likert_style,likert_intentional,likert_another_person,attention_check_strongly_agree,post_task_attention,condition,study,scenario,question,question_sensitivity,user_willingness,user_sensitivity,final_anthropomorphism
R_8nuec0oZkEBN4WT,"I consent, begin the study",Male,21 - 25,4,2,4,3,4,2,4,4,4,4,3.1666666666666665,4.0,True,3,2,2,3,2,1,2,3,4,2,5,True,1,sagar,Interpersonal Relations and Self-Concept,Do you ever feel a sense of loss or longing when you think about them?,Low,4,Low,2.6363636363636362
R_8nuec0oZkEBN4WT,"I consent, begin the study",Male,21 - 25,4,2,4,3,4,2,4,4,4,4,3.1666666666666665,4.0,True,3,2,2,3,2,1,2,3,4,2,5,True,1,sagar,Interpersonal Relations and Self-Concept,Have past experiences in relationships ever left you feeling emotionally hurt or let down?,High,5,Low,2.6363636363636362
R_8nuec0oZkEBN4WT,"I consent, begin the study",Male,21 - 25,4,2,4,3,4,2,4,4,4,4,3.1666666666666665,4.0,True,3,2,2,3,2,1,2,3,4,2,5,True,1,sagar,Interpersonal Relations and Self-Concept,What is something you've done recently that made you feel genuinely proud or emotionally fulfilled?,Medium,2,Low,2.6363636363636362
R_8nuec0oZkEBN4WT,"I consent, begin the study",Male,21 - 25,4,2,4,3,4,2,4,4,4,4,3.1666666666666665,4.0,True,3,2,2,3,2,1,2,3,4,2,5,True,1,sagar,Tastes and Interests,What types of social environments do you find most comforting or energizing?,Low,4,Low,2.6363636363636362
R_8nuec0oZkEBN4WT,"I consent, begin the study",Male,21 - 25,4,2,4,3,4,2,4,4,4,4,3.1666666666666665,4.0,True,3,2,2,3,2,1,2,3,4,2,5,True,1,sagar,Tastes and Interests,Have you ever felt emotionally triggered by people that you strongly disagreed with socially?,High,4,Low,2.6363636363636362
R_8nuec0oZkEBN4WT,"I consent, begin the study",Male,21 - 25,4,2,4,3,4,2,4,4,4,4,3.1666666666666665,4.0,True,3,2,2,3,2,1,2,3,4,2,5,True,1,sagar,Tastes and Interests,"Are there certain types of music, shows, or stories that you avoid because they affect your mood negatively?",Medium,3,Low,2.6363636363636362
R_8nuec0oZkEBN4WT,"I consent, begin the study",Male,21 - 25,4,2,4,3,4,2,4,4,4,4,3.1666666666666665,4.0,True,3,2,2,3,2,1,2,3,4,2,5,True,1,sagar,Work or Studies,What personal strengths do you draw on to stay mentally balanced in your career or studies?,Low,4,Low,2.6363636363636362
R_8nuec0oZkEBN4WT,"I consent, begin the study",Male,21 - 25,4,2,4,3,4,2,4,4,4,4,3.1666666666666665,4.0,True,3,2,2,3,2,1,2,3,4,2,5,True,1,sagar,Work or Studies,Have you been feeling any stress or mental fatigue related to your work or academic life lately?,Medium,3,Low,2.6363636363636362
R_8nuec0oZkEBN4WT,"I consent, begin the study",Male,21 - 25,4,2,4,3,4,2,4,4,4,4,3.1666666666666665,4.0,True,3,2,2,3,2,1,2,3,4,2,5,True,1,sagar,Work or Studies,Have you ever felt completely overwhelmed or lost when it comes to your professional or academic path?,High,5,Low,2.6363636363636362
R_81F0ZAOIetzLcXK,"I consent, begin the study",Male,16 - 20,2,3,4,2,3,2,4,5,5,2,2.6666666666666665,4.0,True,1,2,2,2,3,2,2,3,2,2,5,True,2,sagar,Tastes and Interests,What types of social environments do you find most comforting or energizing?,Low,2,Low,2.3636363636363638
R_81F0ZAOIetzLcXK,"I consent, begin the study",Male,16 - 20,2,3,4,2,3,2,4,5,5,2,2.6666666666666665,4.0,True,1,2,2,2,3,2,2,3,2,2,5,True,2,sagar,Tastes and Interests,Have you ever felt emotionally triggered by people that you strongly disagreed with socially?,High,3,High,2.3636363636363638
