Q1,Q3,Q4,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8_1_pre,Q8_2_pre,Q8_3_pre,Q8_4_pre,study_id,Q11,Q12_post,Q13,Q14,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,SC1,user_id,condition_task,created_at,revoked_consent,study,id,scenario,question,question_sensitivity,user_willingness,user_sensitivity,timestamp
"I consent, begin the study",Male,21 - 25,Agree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,2,3,2,Strongly disagree,Disagree,Neither agree or disagree,Agree,Disagree,0,R_8nuec0oZkEBN4WT,1,2025-06-01 14:29:23.8+00,False,sagar,2557a01d04f178ef8ed8daf0c948705f1abb4c215dad0da8cd66e175b99de108,Interpersonal Relations and Self-Concept,Do you ever feel a sense of loss or longing when you think about them?,Low,4,Low,2025-06-01 14:30:31.848+00
"I consent, begin the study",Male,21 - 25,Agree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,2,3,2,Strongly disagree,Disagree,Neither agree or disagree,Agree,Disagree,0,R_8nuec0oZkEBN4WT,1,2025-06-01 14:29:23.8+00,False,sagar,df36fb29cf3d2170597b01fa363dbc9d8e662704fc1cef1e98c10e43e79e653b,Interpersonal Relations and Self-Concept,Have past experiences in relationships ever left you feeling emotionally hurt or let down?,High,5,Low,2025-06-01 14:32:18.744+00
"I consent, begin the study",Male,21 - 25,Agree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,2,3,2,Strongly disagree,Disagree,Neither agree or disagree,Agree,Disagree,0,R_8nuec0oZkEBN4WT,1,2025-06-01 14:29:23.8+00,False,sagar,722e5a0dfa4c93e91247be2fe79267ed1be5940831a77362bcf524d9f8a2cf6f,Interpersonal Relations and Self-Concept,What is something you've done recently that made you feel genuinely proud or emotionally fulfilled?,Medium,2,Low,2025-06-01 14:32:37.59+00
"I consent, begin the study",Male,21 - 25,Agree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,2,3,2,Strongly disagree,Disagree,Neither agree or disagree,Agree,Disagree,0,R_8nuec0oZkEBN4WT,1,2025-06-01 14:29:23.8+00,False,sagar,22944465148c77b6fa92068c7a41245992b69ce3509809e89452c7eb1bc40a70,Tastes and Interests,What types of social environments do you find most comforting or energizing?,Low,4,Low,2025-06-01 14:33:13.745+00
"I consent, begin the study",Male,21 - 25,Agree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,2,3,2,Strongly disagree,Disagree,Neither agree or disagree,Agree,Disagree,0,R_8nuec0oZkEBN4WT,1,2025-06-01 14:29:23.8+00,False,sagar,3e15b2d7ea2c550e0dec6ad972ca116c981bca5d09a1072d3807ab4418c8bc24,Tastes and Interests,Have you ever felt emotionally triggered by people that you strongly disagreed with socially?,High,4,Low,2025-06-01 14:33:29.876+00
"I consent, begin the study",Male,21 - 25,Agree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,2,3,2,Strongly disagree,Disagree,Neither agree or disagree,Agree,Disagree,0,R_8nuec0oZkEBN4WT,1,2025-06-01 14:29:23.8+00,False,sagar,85ba66ac0f72af4649019a8b7a5b67fa1172ff388378cad91b058ea255642464,Tastes and Interests,"Are there certain types of music, shows, or stories that you avoid because they affect your mood negatively?",Medium,3,Low,2025-06-01 14:35:22.244+00
"I consent, begin the study",Male,21 - 25,Agree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,2,3,2,Strongly disagree,Disagree,Neither agree or disagree,Agree,Disagree,0,R_8nuec0oZkEBN4WT,1,2025-06-01 14:29:23.8+00,False,sagar,b5f6ada6669983a17f5ae6fe7101ea9a09787fb39db16e04bb13c02b7b62a0b8,Work or Studies,What personal strengths do you draw on to stay mentally balanced in your career or studies?,Low,4,Low,2025-06-01 14:36:40.971+00
"I consent, begin the study",Male,21 - 25,Agree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,2,3,2,Strongly disagree,Disagree,Neither agree or disagree,Agree,Disagree,0,R_8nuec0oZkEBN4WT,1,2025-06-01 14:29:23.8+00,False,sagar,cbc26eae29fdbbec21e530c95edd2ae65f97457a5bfaadde3a0fc83d1bb56ca2,Work or Studies,Have you been feeling any stress or mental fatigue related to your work or academic life lately?,Medium,3,Low,2025-06-01 14:36:54.006+00
"I consent, begin the study",Male,21 - 25,Agree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,2,3,2,Strongly disagree,Disagree,Neither agree or disagree,Agree,Disagree,0,R_8nuec0oZkEBN4WT,1,2025-06-01 14:29:23.8+00,False,sagar,7f6784caf15aff6d2d461e72d42dfbf325bc64bd2f46543e4397716ef9164c1d,Work or Studies,Have you ever felt completely overwhelmed or lost when it comes to your professional or academic path?,High,5,Low,2025-06-01 14:37:10.687+00
"I consent, begin the study",Male,16 - 20,Disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,Fake (1),2,2,2,3,Disagree,Disagree,Neither agree or disagree,Disagree,Disagree,0,R_81F0ZAOIetzLcXK,2,2025-06-01 14:34:34.073+00,False,sagar,fb44254fd0f85fad333ef1a27390f799996f7fcccf1d6518e06bd48b0de9c344,Tastes and Interests,What types of social environments do you find most comforting or energizing?,Low,2,Low,2025-06-01 14:35:47.02+00
